analysis_timestamp,data_start_date,data_end_date,ticker,score,num_comments,comment_sentiment_avg,bullish_comments_ratio,bearish_comments_ratio,current_price,price_change_2w,price_change_2d,avg_volume,volume_change,sma_20,rsi,volatility,market_cap,pe_ratio,composite_score
2024-11-30 12:25:39.139887,2024-10-31 12:25:39.139997,2024-11-30 12:25:39.140076,REAL,2613.0,2609,0.27718969832804113,0.7729502691441517,0.2270497308558484,5.88,47.37,2.08,2872359.0,-32.22,4.24,92.4,90.88,644983104.0,-22.400002,0.8764757451782583
2024-11-30 12:25:39.139887,2024-10-31 12:25:39.139997,2024-11-30 12:25:39.140076,AI,298.5,789,0.20728369570475474,0.5872499225081808,0.1627500774918192,37.18,43.06,2.17,5916072.0,-6.27,30.35,76.4,98.73,4622737920.0,-109.86348,0.8571011104617183
2024-11-30 12:25:39.139887,2024-10-31 12:25:39.139997,2024-11-30 12:25:39.140076,ML,506.0,244,0.26000739477042717,0.7928738293635927,0.20712617063640723,91.7,16.12,5.94,255577.0,-31.29,75.63,64.82,123.31,1017980032.0,16.687899,0.8087668030391585
2024-11-30 12:25:39.139887,2024-10-31 12:25:39.139997,2024-11-30 12:25:39.140076,KODK,238.0,103,0.22491375906939357,0.8189338618190231,0.18106613818097697,7.25,61.11,1.54,1774754.0,38.7,5.43,70.06,116.48,582899968.0,,0.7767679719462303
2024-11-30 12:25:39.139887,2024-10-31 12:25:39.139997,2024-11-30 12:25:39.140076,E,267.0,79,0.38530367366956014,0.845959221837562,0.15404077816243794,28.18,-3.33,-0.14,240204.0,-29.81,29.1,31.23,17.98,43905568768.0,9.478992,0.7486849795441262
2024-11-30 12:25:39.139887,2024-10-31 12:25:39.139997,2024-11-30 12:25:39.140076,BGM,22.0,12,0.3609793024592409,0.8610435817301993,0.13895641826980068,8.82,33.41,22.5,25209.0,1218.57,7.14,70.52,96.01,52977152.0,,0.7483050847457626
2024-11-30 12:25:39.139887,2024-10-31 12:25:39.139997,2024-11-30 12:25:39.140076,S,2205.0,930,0.14293435413101788,0.6054068309474079,0.194593169052592,27.95,7.05,-0.46,3323072.0,-34.11,27.29,52.7,40.75,8907665408.0,137.13753,0.7457042665108123
2024-11-30 12:25:39.139887,2024-10-31 12:25:39.139997,2024-11-30 12:25:39.140076,LRCX,152.0,93,0.19252851888623418,0.7351390669801642,0.2648609330198359,73.88,5.47,3.23,10641431.0,0.89,73.93,39.29,39.15,95060656128.0,17.542776,0.7249853886616013
2024-11-30 12:25:39.139887,2024-10-31 12:25:39.139997,2024-11-30 12:25:39.140076,RGTI,17.0,14,0.23471219253047412,0.8207184278073296,0.17928157219267044,3.05,116.31,27.08,41643795.0,180.91,1.64,72.0,263.92,854149440.0,-12.708333,0.7193161893629456
2024-11-30 12:25:39.139887,2024-10-31 12:25:39.139997,2024-11-30 12:25:39.140076,QBTS,17.0,14,0.23471219253047412,0.8207184278073296,0.17928157219267044,3.02,84.15,10.22,23454136.0,40.08,1.83,74.32,225.75,676525312.0,-10.413794,0.7141437755698422
2024-11-30 12:25:39.139887,2024-10-31 12:25:39.139997,2024-11-30 12:25:39.140076,AMD,366.5,418,0.24157829651139995,0.823925734696408,0.1760742653035921,137.18,1.69,0.69,33804636.0,-52.42,140.76,31.37,30.62,222608965632.0,26.69138,0.711835184102864
2024-11-30 12:25:39.139887,2024-10-31 12:25:39.139997,2024-11-30 12:25:39.140076,AMAT,152.0,93,0.19252851888623418,0.7351390669801642,0.2648609330198359,174.71,3.7,1.98,6978313.0,-14.82,179.36,32.21,42.09,144031629312.0,16.232765,0.7042957334891876
2024-11-30 12:25:39.139887,2024-10-31 12:25:39.139997,2024-11-30 12:25:39.140076,NVDA,8761.0,1766,0.08280465166662469,0.6174465321979329,0.38255346780206706,138.25,-2.63,2.15,224887863.0,-36.92,142.51,38.07,41.56,3385742589952.0,31.272055,0.7014611338398598
2024-11-30 12:25:39.139887,2024-10-31 12:25:39.139997,2024-11-30 12:25:39.140076,MU,152.0,93,0.19252851888623418,0.7351390669801642,0.2648609330198359,97.95,1.67,-0.25,16228963.0,-15.4,102.69,27.11,46.21,109399367680.0,7.615847,0.6991233196960842
2024-11-30 12:25:39.139887,2024-10-31 12:25:39.139997,2024-11-30 12:25:39.140076,RKLB,59.333333333333336,172,0.11512865627577133,0.48612412295820384,0.18054254370846282,27.28,43.58,6.27,28300577.0,-29.79,18.36,89.14,115.29,13637572608.0,-124.35612,0.693687901811806
2024-11-30 12:25:39.139887,2024-10-31 12:25:39.139997,2024-11-30 12:25:39.140076,LUNR,17.0,14,0.23471219253047412,0.8207184278073296,0.17928157219267044,16.35,31.64,13.15,21221127.0,-6.34,11.59,71.4,144.39,1322021760.0,-102.18751,0.6934541203974284
